StockCode,avg_daily_demand,demand_std,total_units_sold,safety_stock,reorder_point,recommended_order_qty
10002,11.96,55.79,8836,243.57,327.27,358.7
10080,0.43,10.99,315,47.96,50.95,12.79
10120,0.92,11.67,680,50.95,57.39,27.6
10123C,0.88,26.72,654,116.64,122.83,26.55
10123G,3.05,365.71,2251,1596.49,1617.81,91.38
10124A,0.08,1.91,62,8.34,8.93,2.52
10124G,0.05,1.51,38,6.58,6.94,1.54
10125,2.91,17.97,2151,78.45,98.83,87.32
10133,5.25,17.98,3882,78.48,115.25,157.59
10134,0.85,30.95,627,135.13,141.07,25.45
10135,5.78,41.42,4273,180.8,221.27,173.46
10138,0.35,19.72,261,86.1,88.57,10.6
11001,6.61,39.75,4885,173.51,219.78,198.31
15030,0.34,11.01,254,48.07,50.48,10.31
15034,13.89,115.65,10266,504.86,602.11,416.75
15036,60.03,126.62,44365,552.74,972.97,1801.01
15039,6.93,40.65,5119,177.47,225.96,207.81
15044A,6.73,221.09,4970,965.17,1012.25,201.76
15044B,2.26,37.96,1673,165.73,181.58,67.92
15044C,1.32,7.45,973,32.51,41.73,39.5
15044D,2.16,13.33,1598,58.19,73.33,64.87
15056BL,13.05,41.01,9646,179.03,270.4,391.58
15056N,15.39,36.89,11370,161.02,268.72,461.57
15056P,3.42,33.48,2529,146.14,170.1,102.67
15056bl,0.17,0.69,126,2.99,4.19,5.12
15056n,0.24,1.16,180,5.08,6.78,7.31
15056p,0.07,0.57,50,2.49,2.96,2.03
15058A,0.64,3.38,476,14.75,19.26,19.32
15058B,0.59,4.02,438,17.57,21.72,17.78
15058C,0.64,5.72,470,24.98,29.44,19.08
15059A,0.69,251.83,509,1099.38,1104.2,20.66
15060B,1.95,4.44,1438,19.36,32.98,58.38
16008,4.25,58.98,3143,257.49,287.26,127.59
16010,0.06,4.6,44,20.1,20.52,1.79
16011,5.29,31.2,3906,136.19,173.19,158.57
16012,4.02,30.15,2973,131.6,159.76,120.69
16014,41.1,678.16,30370,2960.49,3248.16,1232.88
16015,2.13,39.59,1573,172.82,187.72,63.86
16016,3.16,35.75,2338,156.06,178.2,94.91
16020C,0.22,4.93,160,21.52,23.04,6.5
16033,20.46,454.35,15121,1983.45,2126.68,613.84
16043,2.9,353.34,2145,1542.52,1562.84,87.08
16044,8.38,3533.17,6193,15424.03,15482.69,251.41
16045,12.6,114.72,9312,500.82,589.02,378.02
16046,13.61,794.12,10061,3466.73,3562.03,408.43
16047,14.36,1272.98,10614,5557.19,5657.73,430.88
16048,4.68,89.1,3462,388.95,421.74,140.54
16049,4.29,141.91,3169,619.52,649.54,128.65
16050,0.2,20.66,151,90.21,91.64,6.13
16051,1.27,420.79,941,1836.94,1845.86,38.2
16052,1.15,52.8,850,230.52,238.57,34.51
16053,5.84,826.96,4313,3610.08,3650.93,175.09
16054,1.64,23.41,1210,102.21,113.67,49.12
16119,0.37,55.19,273,240.95,243.54,11.08
16151A,0.07,18.26,52,79.7,80.19,2.11
16156L,1.29,5.81,950,25.35,34.35,38.57
16156N,2.0,5.68,1475,24.8,38.77,59.88
16156S,22.68,62.85,16761,274.37,433.13,680.42
16161C,0.61,176.78,450,771.72,775.98,18.27
16161E,1.01,156.62,750,683.74,690.85,30.45
16161G,1.32,14.6,975,63.72,72.96,39.58
16161M,1.45,6.67,1075,29.11,39.29,43.64
16161P,17.99,29.84,13298,130.27,256.23,539.84
16161U,13.63,40.16,10076,175.34,270.78,409.04
16162L,10.96,946.09,8101,4130.16,4206.89,328.86
16162M,0.12,4.46,88,19.45,20.29,3.57
16168M,2.32,38.64,1713,168.7,184.93,69.54
16168S,1.74,164.51,1283,718.17,730.32,52.08
16169C,1.83,18.17,1350,79.32,92.11,54.8
16169D,0.34,8.33,250,36.38,38.75,10.15
16169E,6.17,23.72,4563,103.55,146.77,185.24
16169F,1.32,8.99,975,39.23,48.47,39.58
16169K,2.84,60.92,2100,265.96,285.86,85.25
16169M,2.79,61.5,2060,268.46,287.97,83.63
16169N,2.77,63.04,2050,275.19,294.6,83.22
16169P,2.37,68.6,1750,299.48,316.06,71.04
16201A,0.14,10.57,101,46.14,47.09,4.1
16201B,0.05,4.97,34,21.7,22.02,1.38
16202A,0.9,87.43,663,381.66,387.94,26.91
16202B,1.41,128.71,1039,561.89,571.74,42.18
16202C,0.13,8.18,97,35.73,36.65,3.94
16202E,0.11,5.27,82,23.03,23.8,3.33
16206B,0.13,6.27,96,27.38,28.29,3.9
16207A,0.19,1.39,143,6.05,7.4,5.81
16207B,0.36,18.22,265,79.54,82.05,10.76
16212,0.51,11.89,375,51.91,55.46,15.22
16216,5.63,170.43,4158,744.0,783.39,168.8
16218,6.27,62.32,4632,272.06,315.94,188.04
16219,4.54,70.15,3358,306.24,338.05,136.32
16225,2.07,27.44,1530,119.8,134.29,62.11
16235,8.04,41.38,5943,180.66,236.96,241.26
16236,3.61,14.5,2666,63.3,88.55,108.23
16237,14.8,29.78,10938,129.99,233.6,444.03
16238,3.42,13.52,2525,59.01,82.92,102.5
16239,0.47,62.4,347,272.39,275.68,14.09
16243B,0.29,72.12,212,314.86,316.87,8.61
16244A,0.25,18.09,186,78.98,80.75,7.55
16244B,0.47,46.03,345,200.94,204.2,14.01
16245A,0.01,0.79,11,3.43,3.54,0.45
16248B,0.11,12.87,82,56.17,56.95,3.33
16254,1.27,134.66,941,587.84,596.75,38.2
16256B,0.71,14.65,524,63.94,68.91,21.27
16256C,0.23,14.6,169,63.74,65.34,6.86
16258A,1.46,20.56,1080,89.78,100.01,43.84
16258B,1.38,127.81,1017,557.95,567.58,41.29
16259,7.41,65.79,5473,287.2,339.05,222.18
17001,1.64,88.14,1211,384.79,396.26,49.16
17003,96.66,556.0,71430,2427.2,3103.8,2899.73
17007B,0.06,5.2,46,22.71,23.15,1.87
17011A,0.35,37.34,261,162.99,165.46,10.6
17011B,0.03,9.19,19,40.13,40.31,0.77
17011C,0.45,235.47,335,1027.93,1031.1,13.6
17011D,0.28,93.4,209,407.74,409.72,8.48
17011F,0.52,41.65,386,181.8,185.46,15.67
17012A,0.99,22.34,731,97.52,104.45,29.68
17012B,0.99,13.34,728,58.24,65.13,29.55
17012C,1.17,26.33,862,114.92,123.09,34.99
17012D,0.71,6.99,524,30.5,35.47,21.27
17012E,0.4,32.4,294,141.43,144.22,11.94
17012F,0.8,11.14,591,48.63,54.23,23.99
17013B,0.35,73.08,256,319.02,321.44,10.39
17013C,0.29,14.85,213,64.82,66.84,8.65
17013D,1.45,49.13,1069,214.46,224.59,43.4
17013F,0.08,24.39,62,106.47,107.06,2.52
17014A,0.37,29.62,277,129.32,131.94,11.24
17014C,0.13,67.18,97,293.25,294.17,3.94
17014D,0.65,83.66,479,365.2,369.74,19.45
17014E,0.13,35.85,95,156.49,157.39,3.86
17014F,0.08,27.84,61,121.52,122.1,2.48
17021,6.0,115.44,4436,503.94,545.96,180.08
17027A,0.31,42.43,228,185.21,187.37,9.26
17033,4.44,84.66,3280,369.56,400.63,133.15
17038,3.6,55.37,2659,241.74,266.92,107.94
17039,5.02,200.39,3707,874.8,909.91,150.49
17084A,0.6,8.37,442,36.53,40.72,17.94
17084G,0.07,0.0,50,0.0,0.47,2.03
17084J,0.65,10.3,481,44.94,49.5,19.53
17084N,3.79,24.49,2798,106.89,133.4,113.59
17084P,1.41,25.55,1041,111.52,121.38,42.26
17084R,16.42,321.32,12137,1402.71,1517.67,492.71
17090A,0.29,10.37,215,45.26,47.3,8.73
17090D,0.13,2.83,95,12.37,13.27,3.86
17091A,2.84,35.96,2096,156.98,176.84,85.09
17091B,0.38,8.17,282,35.67,38.34,11.45
17091F,0.03,1.6,19,6.98,7.16,0.77
