ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,25809.786011444823,45998.28978180435,72393.48058946955,25809.786011444823,25809.786011444823,33650.68661042975,33650.68661042975,33650.68661042975,9808.312711143366,9808.312711143366,9808.312711143366,23842.373899286387,23842.373899286387,23842.373899286387,0.0,0.0,0.0,59460.47262187458
2009-12-02,25812.024298285407,41166.80757971175,67380.5213240905,25812.024298285407,25812.024298285407,28853.500707028994,28853.500707028994,28853.500707028994,5272.218302583305,5272.218302583305,5272.218302583305,23581.282404445687,23581.282404445687,23581.282404445687,0.0,0.0,0.0,54665.5250053144
2009-12-03,25814.262585125995,47512.750780186834,74764.12691143186,25814.262585125995,25814.262585125995,34813.96395315012,34813.96395315012,34813.96395315012,11683.959076263547,11683.959076263547,11683.959076263547,23130.00487688658,23130.00487688658,23130.00487688658,0.0,0.0,0.0,60628.22653827612
2009-12-04,25816.50087196658,39062.51766997497,64734.206216484374,25816.50087196658,25816.50087196658,25518.655008111527,25518.655008111527,25518.655008111527,3041.0391225404824,3041.0391225404824,3041.0391225404824,22477.615885571046,22477.615885571046,22477.615885571046,0.0,0.0,0.0,51335.155880078106
2009-12-05,25818.739158807162,9247.943004143617,34516.2310846568,25818.739158807162,25818.739158807162,-4250.906494182131,-4250.906494182131,-4250.906494182131,-25867.655978161623,-25867.655978161623,-25867.655978161623,21616.749483979493,21616.749483979493,21616.749483979493,0.0,0.0,0.0,21567.83266462503
2009-12-06,25820.977445647746,23982.529446817025,50054.45805493981,25820.977445647746,25820.977445647746,11742.851813948015,11742.851813948015,11742.851813948015,-8801.10998141311,-8801.10998141311,-8801.10998141311,20543.961795361127,20543.961795361127,20543.961795361127,0.0,0.0,0.0,37563.82925959576
2009-12-07,25823.215732488334,36706.20070850258,62799.97235963912,25823.215732488334,25823.215732488334,24123.24195659695,24123.24195659695,24123.24195659695,4863.236747080167,4863.236747080167,4863.236747080167,19260.00520951678,19260.00520951678,19260.00520951678,0.0,0.0,0.0,49946.457689085284
2009-12-08,25825.454019328914,40579.318292611846,67331.42063314715,25825.454019328914,25825.454019328914,27578.31711482733,27578.31711482733,27578.31711482733,9808.312711147237,9808.312711147237,9808.312711147237,17770.004403680094,17770.004403680094,17770.004403680094,0.0,0.0,0.0,53403.77113415624
2009-12-09,25827.692306169498,33305.55989895807,60162.29442114689,25827.692306169498,25827.692306169498,21355.74519098653,21355.74519098653,21355.74519098653,5272.21830259469,5272.21830259469,5272.21830259469,16083.526888391843,16083.526888391843,16083.526888391843,0.0,0.0,0.0,47183.43749715603
2009-12-10,25829.93059301008,39146.127442231904,63782.977499060406,25829.93059301008,25829.93059301008,25898.502585355138,25898.502585355138,25898.502585355138,11683.95907625815,11683.95907625815,11683.95907625815,14214.543509096986,14214.543509096986,14214.543509096986,0.0,0.0,0.0,51728.433178365216
2009-12-11,25832.16887985067,28649.43652953178,53705.16625140153,25832.16887985067,25832.16887985067,15222.316355076431,15222.316355076431,15222.316355076431,3041.0391225056587,3041.0391225056587,3041.0391225056587,12181.27723257077,12181.27723257077,12181.27723257077,0.0,0.0,0.0,41054.4852349271
2009-12-12,25834.407166691253,-2549.588942560276,22687.970874726965,25834.407166691253,25834.407166691253,-15861.71444348056,-15861.71444348056,-15861.71444348056,-25867.65597816142,-25867.65597816142,-25867.65597816142,10005.941534680858,10005.941534680858,10005.941534680858,0.0,0.0,0.0,9972.692723210694
2009-12-13,25836.645453531837,11490.302624581964,37502.46547371304,25836.645453531837,25836.645453531837,-1086.7372807083855,-1086.7372807083855,-1086.7372807083855,-8801.109981444379,-8801.109981444379,-8801.109981444379,7714.372700735994,7714.372700735994,7714.372700735994,0.0,0.0,0.0,24749.908172823452
2009-12-14,25838.88374037242,22084.348741886966,48820.126368196936,25838.88374037242,25838.88374037242,10198.800015083209,10198.800015083209,10198.800015083209,4863.23674709226,4863.23674709226,4863.23674709226,5335.563267990948,5335.563267990948,5335.563267990948,0.0,0.0,0.0,36037.683755455626
2009-12-15,25841.12202721301,25075.04465746601,51310.72604416949,25841.12202721301,25841.12202721301,12709.419311652138,12709.419311652138,12709.419311652138,9808.312711135857,9808.312711135857,9808.312711135857,2901.106600516283,2901.106600516283,2901.106600516283,0.0,0.0,0.0,38550.54133886515
2009-12-16,25843.360314053592,18166.02000047873,44604.798670350625,25843.360314053592,25843.360314053592,5716.783413812989,5716.783413812989,5716.783413812989,5272.218302606072,5272.218302606072,5272.218302606072,444.5651112069166,444.5651112069166,444.5651112069166,0.0,0.0,0.0,31560.143727866584
2009-12-17,25845.598600894176,22094.116778641506,49584.2324990032,25845.598600894176,25845.598600894176,9684.735938065793,9684.735938065793,9684.735938065793,11683.95907624989,11683.95907624989,11683.95907624989,-1999.2231381840966,-1999.2231381840966,-1999.2231381840966,0.0,0.0,0.0,35530.33453895997
2009-12-18,25847.83688773476,11582.543818119932,38203.73605410158,25847.83688773476,25847.83688773476,-1353.8437614973968,-1353.8437614973968,-1353.8437614973968,3041.039122543045,3041.039122543045,3041.039122543045,-4394.882884040441,-4394.882884040441,-4394.882884040441,0.0,0.0,0.0,24493.993126237365
2009-12-19,25850.075174575348,-20657.331775139995,6026.666526558091,25850.075174575348,25850.075174575348,-32574.92314084638,-32574.92314084638,-32574.92314084638,-25867.655978150957,-25867.655978150957,-25867.655978150957,-6707.267162695424,-6707.267162695424,-6707.267162695424,0.0,0.0,0.0,-6724.847966271031
2009-12-20,25852.31346141593,-4911.9417887517275,22124.61762070049,25852.31346141593,25852.31346141593,-17703.340908780123,-17703.340908780123,-17703.340908780123,-8801.10998142788,-8801.10998142788,-8801.10998142788,-8902.23092735224,-8902.23092735224,-8902.23092735224,0.0,0.0,0.0,8148.972552635809
2009-12-21,25854.551748256516,6137.91549487952,32518.364544642594,25854.551748256516,25854.551748256516,-6084.156644952606,-6084.156644952606,-6084.156644952606,4863.236747104354,4863.236747104354,4863.236747104354,-10947.393392056962,-10947.393392056962,-10947.393392056962,0.0,0.0,0.0,19770.39510330391
2009-12-22,25856.790035097103,10099.223081565911,36463.86256982147,25856.790035097103,25856.790035097103,-3004.557071728951,-3004.557071728951,-3004.557071728951,9808.31271115014,9808.31271115014,9808.31271115014,-12812.86978287909,-12812.86978287909,-12812.86978287909,0.0,0.0,0.0,22852.23296336815
2009-12-23,25859.028321937687,3958.330783976033,30430.95519124443,25859.028321937687,25859.028321937687,-9199.735460062517,-9199.735460062517,-9199.735460062517,5272.21830258752,5272.21830258752,5272.21830258752,-14471.953762650037,-14471.953762650037,-14471.953762650037,0.0,0.0,0.0,16659.29286187517
2009-12-24,25861.26660877827,8554.573094774714,35265.56322829219,25861.26660877827,25861.26660877827,-4217.77381210696,-4217.77381210696,-4217.77381210696,11683.959076241625,11683.959076241625,11683.959076241625,-15901.732888348584,-15901.732888348584,-15901.732888348584,0.0,0.0,0.0,21643.49279667131
2009-12-25,25863.504895161477,-1124.7663731520895,24837.149669815142,25863.504895161477,25863.504895161477,-14042.581910360725,-14042.581910360725,-14042.581910360725,3041.0391225292396,3041.0391225292396,3041.0391225292396,-17083.621032889965,-17083.621032889965,-17083.621032889965,0.0,0.0,0.0,11820.922984800753
2009-12-26,25865.743181544683,-29682.031735724016,-5048.679195689235,25865.743181544683,25865.743181544683,-43871.449694492156,-43871.449694492156,-43871.449694492156,-25867.655978160357,-25867.655978160357,-25867.655978160357,-18003.793716331802,-18003.793716331802,-18003.793716331802,0.0,0.0,0.0,-18005.706512947472
2009-12-27,25867.981467927886,-14744.348673035376,12370.15538403787,25867.981467927886,25867.981467927886,-27454.624674914314,-27454.624674914314,-27454.624674914314,-8801.109981411382,-8801.109981411382,-8801.109981411382,-18653.514693502933,-18653.514693502933,-18653.514693502933,0.0,0.0,0.0,-1586.6432069864277
2009-12-28,25870.219754311096,124.43533323600602,25591.571975157534,25870.219754311096,25870.219754311096,-14166.108125472212,-14166.108125472212,-14166.108125472212,4863.236747100138,4863.236747100138,4863.236747100138,-19029.34487257235,-19029.34487257235,-19029.34487257235,0.0,0.0,0.0,11704.111628838884
2009-12-29,25872.4580406943,2930.1781394183354,29895.570077446475,25872.4580406943,25872.4580406943,-9324.914909023611,-9324.914909023611,-9324.914909023611,9808.312711154013,9808.312711154013,9808.312711154013,-19133.227620177622,-19133.227620177622,-19133.227620177622,0.0,0.0,0.0,16547.54313167069
2009-12-30,25874.696327077505,-1144.26998784331,24612.337373279628,25874.696327077505,25874.696327077505,-13700.229361228423,-13700.229361228423,-13700.229361228423,5272.218302586321,5272.218302586321,5272.218302586321,-18972.447663814746,-18972.447663814746,-18972.447663814746,0.0,0.0,0.0,12174.466965849082
2009-12-31,25876.934613460708,6084.24714630524,32246.106263273115,25876.934613460708,25876.934613460708,-6875.5049704076055,-6875.5049704076055,-6875.5049704076055,11683.95907623623,11683.95907623623,11683.95907623623,-18559.464046643836,-18559.464046643836,-18559.464046643836,0.0,0.0,0.0,19001.429643053103
2010-01-01,25879.172899843918,-1386.6953288127183,24493.653392261254,25879.172899843918,25879.172899843918,-14870.581713746955,-14870.581713746955,-14870.581713746955,3041.0391225154335,3041.0391225154335,3041.0391225154335,-17911.62083626239,-17911.62083626239,-17911.62083626239,0.0,0.0,0.0,11008.591186096963
2010-01-02,25881.41118622712,-29987.445206612898,-4723.880053318294,25881.41118622712,25881.41118622712,-42918.39842786659,-42918.39842786659,-42918.39842786659,-25867.655978160154,-25867.655978160154,-25867.655978160154,-17050.742449706435,-17050.742449706435,-17050.742449706435,0.0,0.0,0.0,-17036.98724163947
2010-01-03,25883.649472610326,-12068.361204787429,13936.396869400523,25883.649472610326,25883.649472610326,-24803.733427572883,-24803.733427572883,-24803.733427572883,-8801.109981490423,-8801.109981490423,-8801.109981490423,-16002.623446082463,-16002.623446082463,-16002.623446082463,0.0,0.0,0.0,1079.9160450374438
2010-01-04,25885.887758993536,2573.9103988816523,29018.161768995873,25885.887758993536,25885.887758993536,-9933.188627710766,-9933.188627710766,-9933.188627710766,4863.236747089152,4863.236747089152,4863.236747089152,-14796.425374799917,-14796.425374799917,-14796.425374799917,0.0,0.0,0.0,15952.69913128277
2010-01-05,25888.12604537674,9221.18445588992,35553.85898810039,25888.12604537674,25888.12604537674,-3655.682965627151,-3655.682965627151,-3655.682965627151,9808.31271114263,9808.31271114263,9808.31271114263,-13463.99567676978,-13463.99567676978,-13463.99567676978,0.0,0.0,0.0,22232.443079749588
2010-01-06,25890.364331759945,5539.177027110844,32094.91124867031,25890.364331759945,25890.364331759945,-6766.907349864817,-6766.907349864817,-6766.907349864817,5272.218302597705,5272.218302597705,5272.218302597705,-12039.125652462522,-12039.125652462522,-12039.125652462522,0.0,0.0,0.0,19123.456981895128
